,norad_id,timestamp,equatorial_phase,magnitude,magnitude_unc,sensor,zeroptd
47,41935,2025-10-31 10:03:07.896051+00:00,-11.56544503317701,13.189646,0.11646860564117698,277281aa,22.701213
48,41935,2025-10-31 10:03:12.785181+00:00,-11.545386701119414,13.373558,0.12915033194304998,277281aa,22.672549
49,41935,2025-10-31 10:03:17.692336+00:00,-11.525254564377505,13.263879,0.11782148613898909,277281aa,22.694469
50,41935,2025-10-31 10:03:22.551855+00:00,-11.50531800300917,13.061296,0.10807110844717009,277281aa,22.699961
51,41935,2025-10-31 10:03:27.410730+00:00,-11.485384226465616,12.670001,0.12005898177146099,277281aa,22.687126
52,41935,2025-10-31 10:03:32.308873+00:00,-11.46528949547436,13.100549,0.10468539883383929,277281aa,22.698093
53,41935,2025-10-31 10:03:37.176761+00:00,-11.445319029931351,13.455466,0.12970098294153365,277281aa,22.684467
54,41935,2025-10-31 10:03:42.069754+00:00,-11.425245715704692,13.695128,0.12391630708264349,277281aa,22.709258
55,41935,2025-10-31 10:03:46.969184+00:00,-11.405146138923737,13.751639,0.1308266067166767,277281aa,22.674042
56,41935,2025-10-31 10:03:51.828703+00:00,-11.38521043759387,13.844911,0.1381775907880869,277281aa,22.694173
57,41935,2025-10-31 10:03:56.733283+00:00,-11.36509002261262,13.913644,0.136056456281942,277281aa,22.676322
58,41935,2025-10-31 10:04:01.623701+00:00,-11.345027850139937,13.962066,0.13590301556992765,277281aa,22.698838
59,41935,2025-10-31 10:04:06.481289+00:00,-11.325100500630013,13.86067,0.13905150844561162,277281aa,22.658461
60,41935,2025-10-31 10:08:24.611291+00:00,-10.266374889980543,11.961191,0.1818585233086423,351869bd,20.591558
61,41935,2025-10-31 10:08:33.476099+00:00,-10.230022811853168,11.667566,0.1361587651089712,351869bd,20.842936
62,41935,2025-10-31 10:08:41.856178+00:00,-10.195658904182887,11.437493,0.14138341136427568,351869bd,20.884927
63,41935,2025-10-31 10:08:50.119099+00:00,-10.161775834800094,11.63458,0.19626768267852962,351869bd,20.98854
64,41935,2025-10-31 10:09:09.870028+00:00,-10.080786510147934,11.595451,0.15459966585022106,351869bd,21.057825
65,41935,2025-10-31 10:09:19.567179+00:00,-10.041023883901074,11.90221,0.15665177229766666,351869bd,21.087266
66,41935,2025-10-31 10:09:27.582907+00:00,-10.008156264127331,12.571117,0.16100930532425756,351869bd,21.191988
67,41935,2025-10-31 10:09:35.614728+00:00,-9.975223042789091,12.823763,0.18168738972201676,351869bd,21.21976
68,41935,2025-10-31 10:09:44.110679+00:00,-9.940387149693436,13.188414,0.1694851361152358,351869bd,21.392191
69,41935,2025-10-31 10:20:06.373085+00:00,-7.390095652839024,13.300151,0.1345204954235599,f45a1078,22.075226
70,41935,2025-10-31 10:20:12.733139+00:00,-7.364041288720604,13.558254999999999,0.14163318889299922,f45a1078,22.076691
71,41935,2025-10-31 10:20:19.073237+00:00,-7.338068911198305,13.771418,0.13900485387568304,f45a1078,22.091203
72,41935,2025-10-31 10:20:25.375356+00:00,-7.3122523486744955,13.95326,0.15134863131525175,f45a1078,22.081155
73,41935,2025-10-31 10:20:31.715454+00:00,-7.286280439962592,13.9365,0.14947180777992883,f45a1078,22.089486
74,41935,2025-10-31 10:20:38.033666+00:00,-7.260398420000703,13.927512,0.15300430325974496,f45a1078,22.063458
75,41935,2025-10-31 10:20:44.347371+00:00,-7.234535095661258,13.897287,0.14797436075550388,f45a1078,22.064196
76,41935,2025-10-31 10:20:50.684251+00:00,-7.208577071969947,13.65371,0.1374376964300552,f45a1078,22.063525
